user,sentiment,subjectivity,tweets
ambazaarmag,nan,nan,[]
dcspotlight,nan,nan,[]
politico,nan,nan,[]
ROLLCALL,nan,nan,[]
thehill,nan,nan,[]
townhallcom,nan,nan,[]
washbizonline,nan,nan,[]
wcp,nan,nan,[]
dcexaminer,nan,nan,[]
washingtonpost,nan,nan,[]
washtimes,nan,nan,[]
metroweekly,nan,nan,[]
washingtonian,nan,nan,[]
TheEagleOnline,nan,nan,[]
gwhatchet,nan,nan,[]
thehoya,nan,nan,[]
GtownVoice,nan,nan,[]
thehilltop,nan,nan,[]
