StateAbbrv,Sentiment,Subjectivity,CountTweets,region
mt,0.061816240824393014,0.21633256085701741,92,montana
nc,0.087481434407804301,0.23399286047117093,438,north carolina
nd,0.10139480744949493,0.30357875631313141,48,north dakota
ne,0.078284401402244894,0.24357946972450786,131,nebraska
nh,0.087196267183109313,0.27802912584491529,95,new hampshire
nj,0.12473704615945994,0.33402257799671586,290,new jersey
nm,0.08185801735466916,0.28438021799628938,112,new mexico
nv,0.083322756185807659,0.23383520074696545,68,nevada
