user,sentiment,subjectivity,tweets
bistrib,nan,nan,[]
farmranchguide,nan,nan,[]
DevilsLakeJour1,nan,nan,[]
dickinsonpress,nan,nan,[]
inforum,nan,nan,[]
gfherald,nan,nan,[]
jamestownsun,nan,nan,[]
kenmarenews,nan,nan,[]
wahpeton,nan,nan,[]
westfargo,nan,nan,[]
willistonherald,nan,nan,[]
NDSUSpectrum,nan,nan,[]
